Gene,Count
Sobic.002G271100,2283
Sobic.002G272900,394
Sobic.002G273300,3462
Sobic.002G274500,2960
Sobic.002G275050,2
Sobic.002G275500,183
Sobic.002G279100,721
Sobic.002G280800,1494
Sobic.002G287400,2731
Sobic.002G290800,190
Sobic.002G293000,2888
Sobic.002G294700,1782
Sobic.002G297200,1217
Sobic.002G297800,1923
Sobic.002G301800,1417
Sobic.002G306000,599
Sobic.002G309200,3080
Sobic.002G312200,1033
Sobic.002G312300,2543
Sobic.002G313800,2476
Sobic.002G316500,41
Sobic.002G316600,940
Sobic.002G320500,415
Sobic.002G329300,2824
Sobic.002G330300,1963
Sobic.002G339800,541
Sobic.002G340000,596
Sobic.002G342800,2292
Sobic.002G343300,4074
Sobic.002G345300,3410
Sobic.002G350500,7
Sobic.002G353200,1640
Sobic.002G353700,2497
Sobic.002G354900,3618
Sobic.002G355000,176
Sobic.002G357400,135
Sobic.002G357800,2266
Sobic.002G359200,7
Sobic.002G359300,420
Sobic.002G359700,3294
Sobic.002G364700,19
Sobic.002G368700,3517
Sobic.002G369800,3334
Sobic.002G370800,3387
Sobic.002G374300,127
Sobic.002G375400,687
Sobic.002G380200,1940
Sobic.002G384300,196
Sobic.002G385300,112
Sobic.002G385450,2707
Sobic.002G389600,261
Sobic.002G395600,1982
Sobic.002G415600,694
Sobic.002G418100,19
Sobic.002G418200,3693
Sobic.002G418500,210
Sobic.002G420700,1515
Sobic.002G421400,397
Sobic.002G421900,2461
Sobic.002G422000,770
Sobic.002G422300,2126
Sobic.002G423300,315
Sobic.002G424000,2335
Sobic.002G425600,35
Sobic.003G000600,2359
Sobic.003G000800,299
Sobic.003G002600,1725
Sobic.003G003600,6024
Sobic.003G003800,2449
Sobic.003G004500,1695
Sobic.003G012800,1339
Sobic.003G017601,695
Sobic.003G018700,506
Sobic.003G021800,561
Sobic.003G026300,2290
Sobic.003G026700,89
Sobic.003G028300,64
Sobic.003G031100,493
Sobic.003G031800,1057
Sobic.003G033000,350
Sobic.003G034300,3833
Sobic.003G034400,604
Sobic.003G034500,366
Sobic.003G035100,4063
Sobic.003G036600,3054
Sobic.003G037400,1128
Sobic.003G037500,1861
Sobic.003G040800,133
Sobic.003G046800,561
Sobic.003G049400,1692
Sobic.003G052900,22
Sobic.003G058200,505
Sobic.003G059200,25
Sobic.003G060400,115
Sobic.003G061400,668
Sobic.003G062300,338
Sobic.003G068700,6
Sobic.003G076500,262
Sobic.003G076600,422
Sobic.003G078100,794
Sobic.003G081000,1418
Sobic.003G085600,2447
Sobic.003G096300,76
Sobic.003G099000,4
Sobic.003G102200,2127
Sobic.003G105200,161
Sobic.003G112700,1271
Sobic.003G113900,611
Sobic.003G117700,463
Sobic.003G117800,4
Sobic.003G119800,3158
Sobic.003G121400,3508
Sobic.003G131100,3292
Sobic.003G132300,1253
Sobic.003G136900,192
Sobic.003G138400,948
Sobic.003G139900,193
Sobic.003G145100,2076
Sobic.003G150400,2044
Sobic.003G156600,1038
Sobic.003G157300,3033
Sobic.003G183000,712
Sobic.003G186200,13
Sobic.003G194500,168
Sobic.003G194600,5
Sobic.003G195600,2058
Sobic.003G199400,559
Sobic.003G204200,244
Sobic.003G211200,2891
Sobic.003G218700,2682
Sobic.003G220700,35
Sobic.003G221900,70
Sobic.003G223400,21
Sobic.003G226600,992
Sobic.003G227300,287
Sobic.003G231700,273
Sobic.003G231800,1310
Sobic.003G237201,175
Sobic.003G242800,1507
Sobic.003G244100,3375
Sobic.003G246900,477
Sobic.003G248400,3405
Sobic.003G251700,267
Sobic.003G252100,674
Sobic.003G252200,998
Sobic.003G253500,1755
Sobic.003G254900,1464
Sobic.003G256300,102
Sobic.003G260300,24
Sobic.003G265200,1538
Sobic.003G272200,2752
Sobic.003G273300,878
Sobic.003G276000,2266
Sobic.003G278300,2120
Sobic.003G282400,3
Sobic.003G285500,96
Sobic.003G294600,925
Sobic.003G295900,3004
Sobic.003G296300,1363
Sobic.003G297600,1950
Sobic.003G298100,3381
Sobic.003G298600,1364
Sobic.003G301700,46
Sobic.003G303800,1161
Sobic.003G305000,90
Sobic.003G310000,381
Sobic.003G313100,2942
Sobic.003G319800,2227
Sobic.003G324400,3576
Sobic.003G324500,512
Sobic.003G327000,2251
Sobic.003G329500,254
Sobic.003G331100,195
Sobic.003G332200,4867
Sobic.003G334600,2267
Sobic.003G336600,1914
Sobic.003G337500,12
Sobic.003G337900,1398
Sobic.003G341100,3466
Sobic.003G346500,1744
Sobic.003G346700,4196
Sobic.003G349700,390
Sobic.003G352200,1441
Sobic.003G352600,2879
Sobic.003G353000,1015
Sobic.003G353700,2147
Sobic.003G356200,4239
Sobic.003G357300,69
Sobic.003G359800,3076
Sobic.003G363200,298
Sobic.003G363600,370
Sobic.003G365500,2929
Sobic.003G365600,2517
Sobic.003G368300,1313
Sobic.003G369100,2106
Sobic.003G370700,3541
Sobic.003G373000,376
Sobic.003G377900,128
Sobic.003G379000,10
Sobic.003G379700,4464
Sobic.003G380900,1649
Sobic.003G381400,677
Sobic.003G382300,1755
Sobic.003G383700,35
Sobic.003G390600,501
Sobic.003G391100,867
Sobic.003G393300,2060
Sobic.003G394900,904
Sobic.003G396600,182
Sobic.003G400600,1753
Sobic.003G402000,119
Sobic.003G406800,596
Sobic.003G407200,1358
Sobic.003G408400,215
Sobic.003G409800,1374
Sobic.003G409900,466
Sobic.003G411900,4180
Sobic.003G412200,991
Sobic.003G416700,1558
Sobic.003G417500,912
Sobic.003G423100,2232
Sobic.003G423200,3482
Sobic.003G423900,686
Sobic.003G428800,13
Sobic.003G429800,370
Sobic.003G445800,1026
Sobic.004G012100,2564
Sobic.004G026700,650
Sobic.004G027800,7
Sobic.004G031100,4828
Sobic.004G036500,1781
Sobic.004G036900,1685
Sobic.004G037800,48
Sobic.004G040000,1452
Sobic.004G040700,20
Sobic.004G047500,877
Sobic.004G049700,2273
Sobic.004G051900,2301
Sobic.004G058700,1213
Sobic.004G058900,1504
Sobic.004G059100,518
Sobic.004G059900,2560
Sobic.004G063200,2410
Sobic.004G065900,3455
Sobic.004G066600,1520
Sobic.004G067100,3872
Sobic.004G070200,2900
Sobic.004G070900,31
Sobic.004G073100,1189
Sobic.004G074700,878
Sobic.004G077500,1160
Sobic.004G078800,17
Sobic.004G084600,108
Sobic.004G085600,2518
Sobic.004G094100,161
Sobic.004G094600,1140
Sobic.004G097700,402
Sobic.004G101400,1537
Sobic.004G106300,919
Sobic.004G113700,792
Sobic.004G117600,277
Sobic.004G123200,1519
Sobic.004G123400,1128
Sobic.004G124300,113
Sobic.004G138400,311
Sobic.004G140000,206
Sobic.004G150400,1495
Sobic.004G151500,4080
Sobic.004G153200,976
Sobic.004G158300,354
Sobic.004G163200,502
Sobic.004G168300,1270
Sobic.004G168800,346
Sobic.004G170700,2180
Sobic.004G173300,2
Sobic.004G174400,1246
Sobic.004G178300,337
Sobic.004G178500,3104
Sobic.004G184200,268
Sobic.004G184400,4009
Sobic.004G188300,1867
Sobic.004G191700,184
Sobic.004G191901,585
Sobic.004G201600,292
Sobic.004G204000,376
Sobic.004G207200,644
Sobic.004G208400,3902
Sobic.004G209600,412
Sobic.004G209700,1114
Sobic.004G211200,1138
Sobic.004G219800,1308
Sobic.004G221400,1347
Sobic.004G227400,4347
Sobic.004G228400,670
Sobic.004G231700,17
Sobic.004G233200,1542
Sobic.004G237000,2492
Sobic.004G237100,450
Sobic.004G249500,811
Sobic.004G250000,1157
Sobic.004G251300,2358
Sobic.004G252600,624
Sobic.004G254000,4407
Sobic.004G256200,234
Sobic.004G259300,548
Sobic.004G266800,1111
Sobic.004G267000,440
Sobic.004G267400,2756
Sobic.004G270600,462
Sobic.004G270900,2
Sobic.004G273000,1673
Sobic.004G273800,280
Sobic.004G279300,2738
Sobic.004G280500,1643
Sobic.004G281200,2862
Sobic.004G281800,4215
Sobic.004G283000,2928
Sobic.004G284400,628
Sobic.004G285400,1532
Sobic.004G290800,614
Sobic.004G291000,2187
Sobic.004G296900,852
Sobic.004G297100,2312
Sobic.004G300300,1999
Sobic.004G301000,445
Sobic.004G301100,3436
Sobic.004G302400,582
Sobic.004G306500,1261
Sobic.004G309600,3634
Sobic.004G311200,667
Sobic.004G311300,1899
Sobic.004G312700,1203
Sobic.004G316500,27
Sobic.004G321300,783
Sobic.004G329800,2156
Sobic.004G330900,1598
Sobic.004G336700,912
Sobic.004G337500,3117
Sobic.004G342200,2
